Components,Melting Temperature,Delta elec,SMILES
"1,5-diamino-4-methyl-4,5-dihydro-1H-tetrazol-1-ium nitrate",394.1,1.0,[N+](=O)([O-])[O-].N[NH+]1N=NN(C1N)C
"1,5-diamino-4-methyl-4,5-dihydro-1H-tetrazol-1-ium nitrate",394.1,1.0,[N+](=O)([O-])[O-].N[NH+]1N=NN(C1N)C
"1,5-diamino-4H-1,2,3,4-tetrazolium perchlorate",370.1,1.0,Cl(=O)(=O)(=O)[O-].N[N+]=1N=NNC1N
"1,5-diamino-4-methyl-1H-tetrazolium dinitramide",358.1,1.0,N[N+](=O)[O-].N[N+](=O)[O-].N[NH+]1N=NN(C1N)C
1-(2-methoxyethyl)-3-methylimidazolium chloride,340.1,6.0,[Cl-].COCCN1C=[N+](C=C1)C
1-(methoxymethyl)-3-methylimidazolium chloride,340.1,3.0,[Cl-].COCN1C=[N+](C=C1)C
1-(methoxymethyl)-3-methylimidazolium hexafluorophosphate,341.1,3.0,F[P-](F)(F)(F)(F)F.COCN1C=[N+](C=C1)C
"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",299.1,1.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CN1C=[N+](C=C1)C
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,270.1,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,267.1,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C
"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",284.4,2.6,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C(=[N+](C=C1)CCC)C
1-ethyl-3-methylimidazolium tetrafluoroborate,287.6,1.1,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
"3-azido-1-(2-azidoethyl)-1H-1,2,4-triazol-1-ium nitrate",219.1,1.0,[N+](=O)([O-])[O-].N(=[N+]=[N-])C1=N[NH+](C=N1)CCN=[N+]=[N-]
"1-(2-azidoethyl)-4-methyl-1,2,4-triazolium nitrate",216.1,1.0,[N+](=O)([O-])[O-].N(=[N+]=[N-])CC[N+]=1N=CN(C1)C
"1-(2-azidoethyl)-1H-1,2,4-triazol-1-ium nitrate",372.1,1.0,[N+](=O)([O-])[O-].N(=[N+]=[N-])CC[NH+]1N=CN=C1
"4-(2-azidoethyl)-1-methyl-4H-1,2,4-triazol-1-ium perchlorate",336.1,1.0,Cl(=O)(=O)(=O)[O-].N(=[N+]=[N-])CCN1C=N[N+](=C1)C
"4-(2-azidoethyl)-1-methyl-4H-1,2,4-triazol-1-ium nitrate",217.1,1.0,[N+](=O)([O-])[O-].N(=[N+]=[N-])CCN1C=N[N+](=C1)C
"1-(2-azidoethyl)-4-methyl-4H-1,2,4-triazol-1-ium perchlorate",221.1,1.0,Cl(=O)(=O)(=O)[O-].N(=[N+]=[N-])CC[N+]=1N=CN(C1)C
"4-amino-1-(2-azidoethyl)-4H-1,2,4-triazol-1-ium nitrate",343.1,1.0,[N+](=O)([O-])[O-].NN1C=N[N+](=C1)CCN=[N+]=[N-]
"4-amino-1-(2-azidoethyl)-4H-1,2,4-triazol-1-ium perchlorate",227.1,1.0,Cl(=O)(=O)(=O)[O-].NN1C=N[N+](=C1)CCN=[N+]=[N-]
"1-(2-azidoethyl)-1H-1,2,4-triazol-1-ium perchlorate",217.1,1.0,Cl(=O)(=O)(=O)[O-].N(=[N+]=[N-])CC[NH+]1N=CN=C1
"1,4-dimethyl-4H-1,2,4-triazolium triiodide",383.1,1.0,[I-](I)I.C[N+]=1N=CN(C1)C
"1,4-dimethyl-4H-1,2,4-triazolium nitrate",274.1,1.0,[N+](=O)([O-])[O-].C[N+]=1N=CN(C1)C
"4-amino-1-methyl-4H-1,2,4-triazol-1-ium perchlorate",359.1,1.0,Cl(=O)(=O)(=O)[O-].NN1C=N[N+](=C1)C
"1-methyl-4-amino-1,2,4-triazolium iodide",374.1,1.0,[I-].C[N+]=1N=CN(C1)N
"3,5-diazido-1,2,4-triazolium nitrate",370.1,1.0,[N+](=O)([O-])[O-].N(=[N+]=[N-])C=1N[NH+]=C(N1)N=[N+]=[N-]
"3-azido-5-methyl-1H-1,2,4-triazol-1-ium nitrate",391.1,1.0,[N+](=O)([O-])[O-].N(=[N+]=[N-])C1=N[NH2+]C(=N1)C
"3-azido-1-methyl-1H-1,2,4-triazol-1-ium perchlorate",328.1,1.0,Cl(=O)(=O)(=O)[O-].N(=[N+]=[N-])C1=N[NH+](C=N1)C
"3-azido-1-methyl-1H-1,2,4-triazol-1-ium nitrate",339.1,1.0,[N+](=O)([O-])[O-].N(=[N+]=[N-])C1=N[NH+](C=N1)C
"3-azido-1H-1,2,4-triazol-1-ium perchlorate",396.1,1.0,Cl(=O)(=O)(=O)[O-].N(=[N+]=[N-])C1=N[NH2+]C=N1
"3-azido-1,4-dimethyl-4H-1,2,4-triazol-1-ium nitrate",371.1,1.0,[N+](=O)([O-])[O-].N(=[N+]=[N-])C1=N[N+](=CN1C)C
"3-azido-1,4-dimethyl-4H-1,2,4-triazol-1-ium perchlorate",341.1,1.0,Cl(=O)(=O)(=O)[O-].N(=[N+]=[N-])C1=N[N+](=CN1C)C
"3-azido-1,4-dimethyl-4H-1,2,4-triazol-1-ium iodide",389.1,1.0,[I-].N(=[N+]=[N-])C1=N[N+](=CN1C)C
"4-amino-1,5-dimethyl-1H-tetrazol-4-ium perchlorate",324.1,1.0,Cl(=O)(=O)(=O)[O-].N[N+]=1N=NN(C1C)C
"4-amino-1,5-dimethyl-1H-tetrazol-4-ium iodide",394.1,1.0,[I-].N[N+]=1N=NN(C1C)C
"1,3,5-trimethyl-1H-tetrazolium nitrate",367.1,1.0,[N+](=O)([O-])[O-].C[NH+]1NN(N=C1C)C
2-azido-1H-imidazol-1-ium nitrate,397.1,1.0,[N+](=O)([O-])[O-].N(=[N+]=[N-])C=1[NH2+]C=CN1
2-azido-1H-imidazol-1-ium perchlorate,389.1,1.0,Cl(=O)(=O)(=O)[O-].N(=[N+]=[N-])C=1[NH2+]C=CN1
"3-ethyl-1,2-dimethyl-4-nitro-1H-imidazol-3-ium nitrate",338.1,1.0,[N+](=O)([O-])[O-].C(C)[N+]1=C(N(C=C1[N+](=O)[O-])C)C
"N,N-diethyl-N-methylbutan-1-aminium bis((trifluoromethyl)sulfonyl)amide",282.1,1.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C)[N+](CCCC)(C)CC
"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluoroethyl)borate",240.2,1.0,
"N,N,N-triethyl-2-methoxyethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",293.1,1.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C)[N+](CCOC)(CC)CC
"2-methoxy-N,N,N-trimethylethan-1-aminium trifluoro(perfluoroethyl)borate",303.1,1.0,
"N,N-diethyl-N-methylbutan-1-aminium trifluoro(perfluoroethyl)borate",288.1,1.0,
"N,N-diethyl-N-methylpropan-1-aminium trifluoro(perfluoroethyl)borate",327.1,1.0,
"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(trifluoromethyl)borate",283.1,1.0,
"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(trifluoromethyl)borate",251.2,1.0,
"2-methoxy-N-ethyl-N,N-dimethylethan-1-aminium trifluoro(trifluoromethyl)borate",281.1,1.0,
"2-methoxy-N,N,N-trimethylethan-1-aminium trifluoro(trifluoromethyl)borate",350.1,1.0,
"N,N-diethyl-N-methylbutan-1-aminium trifluoro(trifluoromethyl)borate",270.1,1.0,
"N,N-diethyl-N-methylpropan-1-aminium trifluoro(trifluoromethyl)borate",368.1,1.0,
"N,N-diethyl-N-methylpropan-1-aminium bis((trifluoromethyl)sulfonyl)amide",287.1,1.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C)[N+](CCC)(C)CC
"N,N,N-triethyl-2-methoxyethan-1-aminium tetrafluoroborate",329.1,1.0,F[B-](F)(F)F.C(C)[N+](CCOC)(CC)CC
"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",281.1,1.0,F[B-](F)(F)F.C(C)[N+](CCOC)(C)CC
"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium tetrafluoroborate",277.1,1.0,F[B-](F)(F)F.C(C)[N+](CCOC)(C)C
"2-methoxy-N,N,N-trimethylethan-1-aminium tetrafluoroborate",327.1,1.0,F[B-](F)(F)F.COCC[N+](C)(C)C
"N,N-diethyl-N-methylbutan-1-aminium tetrafluoroborate",438.1,1.0,F[B-](F)(F)F.C(C)[N+](CCCC)(C)CC
"N,N-diethyl-N-methylpropan-1-aminium tetrafluoroborate",459.1,1.0,F[B-](F)(F)F.C(C)[N+](CCC)(C)CC
"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluorobutyl)borate",284.1,1.0,
"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluorobutyl)borate",245.2,1.0,
"2-methoxy-N,N,N-trimethylethan-1-aminium trifluoro(perfluorobutyl)borate",323.1,1.0,
"N,N-diethyl-N-methylbutan-1-aminium trifluoro(perfluorobutyl)borate",333.1,1.0,
"N,N-diethyl-N-methylpropan-1-aminium trifluoro(perfluorobutyl)borate",327.1,1.0,
"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluoropropyl)borate Chemical Formula: C12H22BF10NO",279.1,1.0,
"2-methoxy-N,N,N-trimethylethan-1-aminium trifluoro(perfluoropropyl)borate",296.1,1.0,
"N,N-diethyl-N-methylbutan-1-aminium trifluoro(perfluoropropyl)borate",323.1,1.0,
"N,N-diethyl-N-methylpropan-1-aminium trifluoro(perfluoropropyl)borate",330.1,1.0,
"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluoroethyl)borate",276.1,1.0,
"2-methoxy-N,N,N-trimethylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",310.1,1.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.COCC[N+](C)(C)C
"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",349.0,0.4,C(C)(=O)[O-].CN1C=2[NH+](CCC1)CCCN2
2-methoxyethylammonium nitrate,307.0,2.0,[N+](=O)([O-])[O-].COCC[NH3+]
"4-methyl-1-propyl-1,2,4-triazolium trifluoromethanesulfonate",276.4,4.0,FC(S(=O)(=O)[O-])(F)F.CN1C=N[N+](=C1)CCC
"2-(dodecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium methanesulfonate",377.15,0.0,CS(=O)(=O)[O-].C(CCCCCCCCCCC)OC(C[N+](C)(C)C)=O
"N,N,N-trimethyl-2-oxo-2-(tetradecyloxy)ethan-1-aminium methanesulfonate",377.15,0.0,CS(=O)(=O)[O-].C[N+](CC(OCCCCCCCCCCCCCC)=O)(C)C
"2-(docosyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium dicyanamide",353.0,0.0,[N-](C#N)C#N.C(CCCCCCCCCCCCCCCCCCCCC)OC(C[N+](C)(C)C)=O
"2-(hexadecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium methanesulfonate",378.15,0.0,CS(=O)(=O)[O-].C(CCCCCCCCCCCCCCC)OC(C[N+](C)(C)C)=O
"2-(hexyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium methanesulfonate",376.15,0.0,CS(=O)(=O)[O-].C(CCCCC)OC(C[N+](C)(C)C)=O
"2-(docosyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium methanesulfonate",381.15,0.0,CS(=O)(=O)[O-].C(CCCCCCCCCCCCCCCCCCCCC)OC(C[N+](C)(C)C)=O
"2-(hexyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium tetrafluoroborate",331.1,0.0,F[B-](F)(F)F.C(CCCCC)OC(C[N+](C)(C)C)=O
"2-(dodecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium tetrafluoroborate",362.1,0.0,F[B-](F)(F)F.C(CCCCCCCCCCC)OC(C[N+](C)(C)C)=O
"N,N,N-trimethyl-2-oxo-2-(tetradecyloxy)ethan-1-aminium tetrafluoroborate",369.1,0.0,F[B-](F)(F)F.C[N+](CC(OCCCCCCCCCCCCCC)=O)(C)C
"2-(hexadecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium tetrafluoroborate",377.15,0.0,F[B-](F)(F)F.C(CCCCCCCCCCCCCCC)OC(C[N+](C)(C)C)=O
"2-(dodecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium perchlorate",357.1,0.0,Cl(=O)(=O)(=O)[O-].C(CCCCCCCCCCC)OC(C[N+](C)(C)C)=O
"N,N,N-trimethyl-2-oxo-2-(tetradecyloxy)ethan-1-aminium perchlorate",367.1,0.0,Cl(=O)(=O)(=O)[O-].C[N+](CC(OCCCCCCCCCCCCCC)=O)(C)C
"2-(hexadecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium dicyanamide",336.1,0.0,[N-](C#N)C#N.C(CCCCCCCCCCCCCCC)OC(C[N+](C)(C)C)=O
"N,N,N-trimethyl-2-oxo-2-(tetradecyloxy)ethan-1-aminium dicyanamide",334.1,0.0,[N-](C#N)C#N.C[N+](CC(OCCCCCCCCCCCCCC)=O)(C)C
"2-(dodecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium dicyanamide",331.1,0.0,[N-](C#N)C#N.C(CCCCCCCCCCC)OC(C[N+](C)(C)C)=O
"2-(hexadecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium perchlorate",372.1,0.0,Cl(=O)(=O)(=O)[O-].C(CCCCCCCCCCCCCCC)OC(C[N+](C)(C)C)=O
1-methyl-1-propylpyrrolidinium triflate,350.7,0.5,[O-]S(=O)(=O)C(F)(F)F.C[N+]1(CCCC1)CCC
1-(2-azido-3-bromopropyl)-3-methyl-3H-imidazol-1-ium dicyanamide,271.0,1.0,[N-](C#N)C#N.N(=[N+]=[N-])C(C[N+]1=CN(C=C1)C)CBr
3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium dibromide,296.0,1.0,[Br-].[Br-].N(=[N+]=[N-])C(C[N+]1=CN(C=C1)C=C)C[N+]1=CN(C=C1)C
1-(3-azido-2-bromopropyl)-3-methyl-3H-imidazol-1-ium bromide,290.0,1.0,[Br-].N(=[N+]=[N-])CC(C[N+]1=CN(C=C1)C)Br
1-(2-azido-3-bromopropyl)-3-methyl-3H-imidazol-1-ium bromide,283.0,1.0,[Br-].N(=[N+]=[N-])C(C[N+]1=CN(C=C1)C)CBr
3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium di(dicyanamide),292.0,1.0,[N-](C#N)C#N.[N-](C#N)C#N.N(=[N+]=[N-])C(C[N+]1=CN(C=C1)C=C)C[N+]1=CN(C=C1)C
1-(3-azido-2-bromopropyl)-3-methyl-3H-imidazol-1-ium dicyanamide,279.0,1.0,[N-](C#N)C#N.N(=[N+]=[N-])CC(C[N+]1=CN(C=C1)C)Br
"1,1'-(oxybis(ethane-2,1-diyl))bis(3-methylimidazolium) hexafluorophosphate",371.1,1.0,F[P-](F)(F)(F)(F)F.O(CCN1C=[N+](C=C1)C)CCN1C=[N+](C=C1)C.F[P-](F)(F)(F)(F)F
N-octylbenzothiazolium hexafluorophosphate,334.22,0.5,F[P-](F)(F)(F)(F)F.C(CCCCCCC)[N+]1=CSC2=C1C=CC=C2
3-heptylbenzo[d]thiazol-3-ium hexafluorophosphate,359.3,0.5,F[P-](F)(F)(F)(F)F.C(CCCCCC)[N+]1=CSC2=C1C=CC=C2
N-hexylbenzothiazolium hexafluorophosphate,358.79,0.5,F[P-](F)(F)(F)(F)F.C(CCCCC)[N+]1=CSC2=C1C=CC=C2
3-butylbenzo[d]thiazol-3-ium hexafluorophosphate(V),394.85,0.5,
N-pentylbenzothiazolium hexafluorophosphate,412.26,0.5,F[P-](F)(F)(F)(F)F.C(CCCC)[N+]1=CSC2=C1C=CC=C2
"1-methyl-3-(2,2,2-trifluoroethyl)imidazolium bis((trifluoromethyl)sulfonyl)imide",251.2,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C=[N+](C=C1)CC(F)(F)F
hexyltrimethylammonium bis[(trifluoromethyl)sulfonyl]imide,305.2,1.1,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)[N+](C)(C)C
trimethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,280.1,1.1,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C[N+](CCCCCCCC)(C)C
N-ethyl-N-methyl-N-propylpropan-1-aminium bis((trifluoromethyl)sulfonyl)imide,288.1,1.1,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+](CCC)(CCC)C
"N,N-diethyl-N-methylbutan-1-aminium bis((trifluoromethyl)sulfonyl)amide",283.4,1.1,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C)[N+](CCCC)(C)CC
"N-ethyl-N,N-dimethyl-1-propanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",261.1,1.0,FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.C(C)[N+](CCC)(C)C
"N-butyl-N,N-dimethyl-N-ethylammonium bis(trifluoromethanesulfonyl)amide",263.1,1.1,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)[N+](CC)(C)C
"N,N-dimethyl-N-ethyl-N-pentylammonium bis(trifluoromethylsulfonyl)",265.1,1.1,
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,290.1,1.1,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+](C)(C)C
1-ethylpyridinium dicyanamide,240.0,5.0,[N-](C#N)C#N.C(C)[N+]1=CC=CC=C1
1-propylpyridinium dicyanamide,276.1,5.0,[N-](C#N)C#N.C(CC)[N+]1=CC=CC=C1
1-octyl-3-methylimidazolium hexafluorophosphate,272.2,2.0,F[P-](F)(F)(F)(F)F.C(CCCCCCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium chloride,341.9,2.0,[Cl-].C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,282.2,2.0,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
"(alphaR)-alpha-[(1S)-1-aminoethyl]-3-hydroxy-benzenemethanol (2R,3R)-2,3-dihydroxybutanedioate",452.69,0.41,O[C@@H](C(=O)O)[C@H](C(=O)O)O.N[C@@H](C)[C@H](O)C1=CC(=CC=C1)O
1-ethylpyridinium bis[(trifluoromethyl)sulfonyl]imide,305.1,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+]1=CC=CC=C1
choline bis(trifluoromethylsulfonyl)imide,306.1,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.OCC[N+](C)(C)C
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,259.1,2.0,FC(S(=O)(=O)[O-])(F)F.C(C)N1C=[N+](C=C1)C
1-ethylpyridinium methanesulfonate,335.1,2.0,CS(=O)(=O)[O-].C(C)[N+]1=CC=CC=C1
1-ethylpyridinium triflate,305.1,2.0,[O-]S(=O)(=O)C(F)(F)F.C(C)[N+]1=CC=CC=C1
"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",289.1,2.0,FC(C(F)(F)F)(S(=O)(=O)NS(=O)(=O)C(C(F)(F)F)(F)F)F.C(C)N1C=[N+](C=C1)C
tris(diethylamino)cyclopropenium bis(trifluoromethansulfonyl)amide,291.1,2.0,
4-(3-hydroxypropyl)-4-methylmorpholinium bis(trifluoromethylsulfonyl)amide,287.0,0.4,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.OCCC[N+]1(CCOCC1)C
ethylammonium nitrate,285.15,0.5,[N+](=O)([O-])[O-].C(C)[NH3+]
1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,292.0,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-decylpyridinium bis(trifluoromethylsulfonyl)imide,274.0,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCCCCCC)[N+]1=CC=CC=C1
1-heptylpyridinium bis(trifluoromethylsulfonyl)amide,272.0,1.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCCCCC)[N+]1=CC=CC=C1
1-butyl-3-methylimidazolium chloride,338.1,1.0,[Cl-].C(CCC)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,256.1,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C=[N+](C=C1)C
diethylammonium acetate,320.6,1.0,C(C)(=O)[O-].C(C)[NH2+]CC
1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,326.6,0.4,CC1=CC=C(C=C1)S(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,322.3,0.4,CC1=CC=C(C=C1)S(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,291.4,1.1,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)[N+]1=CC=C(C=C1)C
1-ethyl-3-methylimidazolium chloride,353.1,4.0,[Cl-].C(C)N1C=[N+](C=C1)C
1-allyl-3-methylimidazolium chloride,325.1,1.0,[Cl-].C(C=C)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,284.3,0.0,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",281.0,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C(=[N+](C=C1)CCC)C
1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,277.0,2.0,
tetrabutylphosphonium L-valinate,298.92,0.5,N[C@@H](C(C)C)C(=O)[O-].C(CCC)[P+](CCCC)(CCCC)CCCC
"2,3,5-trimethyl-1-propyl-1H-pyrazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",290.1,2.0,FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.CN1[NH+](C(=CC1C)C)CCC
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,270.1,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,285.1,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C[N+]1(CCCCC1)CCC
methyltripropylammonium bis[(trifluoromethyl)sulfonyl]amide,319.1,2.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C[N+](CCC)(CCC)CCC
"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",292.1,2.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C[N+](CCC)(C)C
sodium bis(fluorosulfonyl)amide,379.0,4.0,FS(=O)(=O)[N-]S(=O)(=O)F.[Na+]
potassium bis(fluorosulfonyl)amide,375.0,4.0,FS(=O)(=O)[N-]S(=O)(=O)F.[K+]
rubidium bis(fluorosulfonyl)amide,368.0,4.0,FS(=O)(=O)[N-]S(=O)(=O)F.[Rb+]
cesium bis(fluorosulfonyl)amide,386.0,4.0,FS(=O)(=O)[N-]S(=O)(=O)F.[Cs+]
1-pentylpyridinium bis(trifluoromethylsulfonyl)amide,272.8,1.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCCC)[N+]1=CC=CC=C1
1-ethylpyridinium bis[(trifluoromethyl)sulfonyl]imide,303.6,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+]1=CC=CC=C1
1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,299.1,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-methyl-3-propylimidazolium hexafluorophosphate,311.6,0.5,F[P-](F)(F)(F)(F)F.CN1C=[N+](C=C1)CCC
1-methyl-3-propylpyridinium hexafluorophosphate,311.2,0.5,F[P-](F)(F)(F)(F)F.C[N+]1=CC(=CC=C1)CCC
"1-butyl-3,5-dimethylpyridinium thiocyanate",286.1,2.0,[S-]C#N.C(CCC)[N+]1=CC(=CC(=C1)C)C
5-ethyl-2-methyl-1-octylpyridinium dicyanamide,326.1,2.0,[N-](C#N)C#N.C(C)C=1C=CC(=[N+](C1)CCCCCCCC)C
"1-butyl-3,5-dimethylpyridinium dicyanamide",272.1,2.0,[N-](C#N)C#N.C(CCC)[N+]1=CC(=CC(=C1)C)C
"3,5-dimethyl-1-octylpyridinium 1,1,1-trifluoromethanesulfonate",349.1,2.0,FC(S(=O)(=O)[O-])(F)F.CC=1C=[N+](C=C(C1)C)CCCCCCCC
"1-butyl-2,3,5-trimethylpyridinium 1,1,1-trifluoromethanesulfonate",347.1,2.0,FC(S(=O)(=O)[O-])(F)F.C(CCC)[N+]1=C(C(=CC(=C1)C)C)C
"1-butyl-2,3-dimethylpyridinium 1,1,1-trifluoromethanesulfonate",290.1,2.0,FC(S(=O)(=O)[O-])(F)F.C(CCC)[N+]1=C(C(=CC=C1)C)C
"1-butyl-3,5-dimethylpyridinium 1,1,1-trifluoromethanesulfonate",364.1,2.0,FC(S(=O)(=O)[O-])(F)F.C(CCC)[N+]1=CC(=CC(=C1)C)C
5-ethyl-2-methyl-1-octylpyridinium iodide,360.1,2.0,[I-].C(C)C=1C=CC(=[N+](C1)CCCCCCCC)C
"3,5-dimethyl-1-octylpyridinium iodide",355.1,2.0,[I-].CC=1C=[N+](C=C(C1)C)CCCCCCCC
"2,3,5-trimethyl-1-octylpyridinium thiocyanate",293.1,2.0,[S-]C#N.CC1=[N+](C=C(C=C1C)C)CCCCCCCC
"3,5-dimethyl-1-octylpyridinium tetrafluoroborate",329.1,2.0,F[B-](F)(F)F.CC=1C=[N+](C=C(C1)C)CCCCCCCC
"3,5-dimethyl-1-octylpyridinium thiocyanate",235.1,2.0,[S-]C#N.CC=1C=[N+](C=C(C1)C)CCCCCCCC
1-methylimidazolium chloride,359.1,1.0,[Cl-].CN1C=[NH+]C=C1
tetrabutylammonium p-toluenesulfonate,345.1,1.0,CC1=CC=C(C=C1)S(=O)(=O)[O-].C(CCC)[N+](CCCC)(CCCC)CCCC
