Components,Melting Temperature,Delta elec,SMILES
1-methyl-3-(3-phenylpropyl)-1H-imidazolium hexafluorophosphate,325.1,4.0,F[P-](F)(F)(F)(F)F.CN1C=[N+](C=C1)CCCC1=CC=CC=C1
"1-methyl-3-(2-phenylethyl)-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",310.1,4.0,FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.CN1C=[N+](C=C1)CCC1=CC=CC=C1
"1-methyl-3-(3-phenylpropyl)-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",321.1,4.0,FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.CN1C=[N+](C=C1)CCCC1=CC=CC=C1
1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,264.1,4.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C=[N+](C=C1)CCCCC
1-heptyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,280.1,4.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCCCCC)N1C=[N+](C=C1)C
1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,363.1,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+]1(CCCC1)C
"1,3-dimethylimidazolium methylsulfate",316.1,2.0,COS(=O)(=O)[O-].CN1C=[N+](C=C1)C
1-butyl-3-methylimidazolium octyl sulfate,307.6,3.1,S(=O)(=O)(OCCCCCCCC)[O-].C(CCC)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium hexafluorophosphate,333.0,3.0,F[P-](F)(F)(F)(F)F.C(C)N1C=[N+](C=C1)C
1-nonyl-3-methylimidazolium hexafluorophosphate,287.1,2.0,F[P-](F)(F)(F)(F)F.C(CCCCCCCC)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium bromide,352.0,2.0,[Br-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium iodide,351.0,2.0,[I-].C(C)N1C=[N+](C=C1)C
